TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN
ACM Computing Surveys,J,0360-0300,,,,ACM Computing Surveys,L,0360-0300,,,,ACM Computing Surveys ,M,0360-0300,1557-7341,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Journal on Emerging Technologies in Computing Systems,J,1550-4832,,,,ACM Journal on Emerging Technologies in Computing Systems ,M,1550-4832,1550-4840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the ACM,J,0004-5411,,,,Journal of the ACM,L,0004-5411,,,,Journal of the ACM ,M,0004-5411,1557-735X,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on Algorithms,J,1549-6325,,,,ACM Transactions on Algorithms ,M,1549-6325,1549-6333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on Computational Logic,J,1529-3785,,,,ACM Transactions on Computational Logic ,M,1529-3785,1557-945X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on Computer Systems,J,0734-2071,,,,ACM Transactions on Computer Systems,L,0734-2071,,,,ACM Transactions on Computer Systems ,M,0734-2071,1557-7333,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on Database Systems,J,0362-5915,,,,ACM Transactions on Database Systems,L,0362-5915,,,,ACM Transactions on Database Systems ,M,0362-5915,1557-4644,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on Embedded Computing Systems,J,1539-9087,,,,ACM Transactions on Embedded Computing Systems ,M,1539-9087,1558-3465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on Information Systems,J,1046-8188,,,,ACM Transactions on Information Systems ,M,1046-8188,1558-2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on Internet Technology,J,1533-5399,,,,ACM Transactions on Internet Technology ,M,1533-5399,1557-6051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on Knowledge Discovery from Data,J,1556-4681,,,,ACM Transactions on Knowledge Discovery from Data ,M,1556-4681,1556-472X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on Sensor Networks,J,1550-4859,,,,ACM Transactions on Sensor Networks ,M,1550-4859,1550-4867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on Storage,J,1553-3077,,,,ACM Transactions on Storage ,M,1553-3077,1553-3093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM Transactions on the Web,J,1559-1131,,,,ACM Transactions on the Web ,M,1559-1131,1559-114X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEEE/ACM Transactions on Computational Biology and Bioinformatics ,M,1545-5963,,,,IEEE/ACM Transactions on Computational Biology and Bioinformatics,O,1545-5963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEEE/ACM Transactions on Networking ,M,1063-6692,,,,IEEE/ACM Transactions on Networking,O,1063-6692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications of the ACM,J,0001-0782,,,,Communications of the ACM,L,0001-0782,,,,Communications of the ACM,M,0001-0782,1557-7317,,,,,,,,,,,,,,,,,,,,,,,,,,
Computational Linguistics,J,0891-2017,,,,Computational Linguistics,M,0891-2017,,,,Computational Linguistics,P,0891-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evolutionary Computation,J,1063-6560,,,,Evolutionary Computation,K,1063-6560,,,,Evolutionary Computation,M,1063-6560,1530-9304,,,Evolutionary Computation,O,1063-6560,,,,Evolutionary Computation,P,1063-6560,,,,,,,,,,,,,,,
Journal of Usability Studies,M,1931-3357,,,,Journal of Usability Studies,P,1931-3357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC: Electronic Commerce,J,,,,,EC: Electronic Commerce,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICSE: International Conference on Software Engineering,J,,,,,ICSE: International Conference on Software Engineering,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方言,A,0257-0203,,,,方言,I,0257-0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文史哲,A,0511-4721,,,,文史哲,I,0511-4721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山花,A,0559-7218,,,,山花,I,0559-7218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西湖,A,1000-291X,,,,西湖,I,1000-291X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
敦煌研究,A,1000-4106,,,,敦煌研究,I,1000-4106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界宗教研究,A,1000-4289,,,,世界宗教研究,I,1000-4289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文博,A,1000-7954,,,,文博,I,1000-7954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近代史研究,A,1001-6708,,,,近代史研究,I,1001-6708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西域研究,A,1002-4743,,,,西域研究,I,1002-4743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
清史研究,A,1002-8587,,,,清史研究,I,1002-8587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大舞台,A,1003-1200,,,,大舞台,I,1003-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人文地理,A,1003-2398,,,,人文地理,I,1003-2398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周易研究,A,1003-3882,,,,周易研究,I,1003-3882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文物春秋,A,1003-6555,,,,文物春秋,I,1003-6555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川文物,A,1003-6962,,,,四川文物,I,1003-6962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南方文物,A,1004-6275,,,,南方文物,I,1004-6275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界地理研究,A,1004-9479,,,,世界地理研究,I,1004-9479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青春,A,1005-2445,,,,青春,I,1005-2445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界文化,A,1005-9172,,,,世界文化,I,1005-9172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晚霞,A,1006-0251,,,,晚霞,I,1006-0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
作家,A,1006-4044,,,,作家,I,1006-4044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界民族,A,1006-8287,,,,世界民族,I,1006-8287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天涯,A,1006-9496,,,,天涯,I,1006-9496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史林,A,1007-1873,,,,史林,I,1007-1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界宗教文化,A,1007-6255,,,,世界宗教文化,I,1007-6255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大理文化,A,1009-3249,,,,大理文化,I,1009-3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan Journal of Linguistics,A,1729-4649,,,,Taiwan Journal of Linguistics,R,1729-4649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scholedge International Journal of Multidisciplinary & Allied Studies,A,2394-336X,,,,Scholedge International Journal of Multidisciplinary & Allied Studies,P,2394-336X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海交史研究,A,1006-8384,,,,海交史研究,I,1006-8384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建文博,A,1005-894x,,,,福建文博,I,1005-894X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建史志,A,1003-157X,,,,福建史志,I,1003-157X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
